name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two,type
Kyakhanahai,No,No,3.4,8,Koramangala 5th Block,Delivery,"North Indian, South Indian",400.0,Delivery
Slurpy Shakes,Yes,No,3.8,0,HSR,Delivery,Beverages,300.0,Delivery
Savoury Express,Yes,No,3.6,31,Jeevan Bhima Nagar,Casual Dining,Arabian,800.0,Delivery
Daily Sushi,Yes,No,3.6,18,Marathahalli,Quick Bites,others,900.0,Delivery
Alchemy - The Chancery Pavilion,No,Yes,4.3,485,Residency Road,others,others,2000.0,Drinks & nightlife
Koshe Kosha,Yes,No,4.0,576,Koramangala 1st Block,Casual Dining,others,600.0,Delivery
Republic Of Noodles - Lemon Tree Premier,No,Yes,4.5,550,Ulsoor,Casual Dining,others,1800.0,Dine-out
De Purple Cafe,No,No,3.4,0,Marathahalli,Quick Bites,"Fast Food, Beverages",300.0,Delivery
YummRajj,Yes,No,3.5,45,BTM,Quick Bites,Fast Food,500.0,Delivery
Kolkata Kathi Roll's,Yes,No,3.6,18,Banashankari,Quick Bites,"Fast Food, Rolls",250.0,Dine-out
Oye Amritsar,Yes,Yes,4.1,450,Church Street,Casual Dining,North Indian,1000.0,Delivery
Kolkata Kathi Rolls,Yes,No,3.8,23,JP Nagar,Quick Bites,others,150.0,Delivery
The Permit Room,No,No,4.5,1576,Brigade Road,"Casual Dining, Bar",South Indian,1500.0,Dine-out
White Fog,No,No,4.2,0,Koramangala 6th Block,Cafe,others,800.0,Cafes
Ragoo's,Yes,No,3.9,234,Jayanagar,Casual Dining,others,800.0,Delivery
Krispy Kreme,Yes,No,4.0,47,Richmond Road,Dessert Parlor,"Desserts, Beverages",300.0,Desserts
Foodhall,Yes,No,4.0,113,MG Road,Casual Dining,others,1000.0,Delivery
Mumbai Xpress,Yes,No,2.8,92,Bellandur,Quick Bites,others,350.0,Dine-out
Shadow Kolkata Katti Rolls & Momos,Yes,No,4.0,0,Brigade Road,Quick Bites,others,250.0,Delivery
Khan Saheb Grills and Rolls,Yes,No,3.4,25,Langford Town,Quick Bites,"Fast Food, Rolls",400.0,Dine-out
Hiyar Majhe Kolkata,Yes,No,4.0,244,BTM,Quick Bites,others,400.0,Delivery
